Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,184.200,185.800,1.600,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1842,1858,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,186.800,189.300,2.500,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1868,1893,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Investigation,Not defined,STATE,189.800,192.100,2.300,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1899,1921,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,190.500,191.700,1.200,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1905,1917,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Approach,Not defined,STATE,194.000,197.099,3.099,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1940,NA,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,197.100,200.300,3.200,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1971,2003,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Investigation,Not defined,STATE,198.500,200.200,1.700,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1985,2002,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Investigation,Not defined,STATE,200.900,208.400,7.500,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,2010,2084,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,205.500,206.100,0.600,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,2055,2061,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,207.500,208.400,0.900,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,2075,2084,,,,
